csv,air_type,air_w,air_constraints,label,k,schedule,proof_bytes,prove_s,verify_ms,prove_elems_per_s,delta_size_pct,delta_prove_pct,delta_verify_pct,delta_throughput_pct
csv,regmach_w8_d2,8,8,32by16by8,15,[32,16,8,8],266608,0.256606,0.875,127697.632956,0.00,0.00,0.00,0.00
csv,regmach_w8_d2,8,8,32by16by8,16,[32,16,8,16],318960,0.514181,0.971,127457.093771,132.75,27.42,90.16,-21.52
csv,regmach_w8_d2,8,8,32by16by8,17,[32,16,8,32],345456,1.027561,1.156,127556.474429,110.91,29.22,97.35,-22.61
csv,regmach_w8_d2,8,8,32by16by8,18,[32,16,8,64],348528,2.048591,1.506,127963.091333,110.40,29.51,145.59,-22.78
csv,regmach_w8_d2,8,8,32by16by8,19,[32,16,8,128],354672,4.118447,2.836,127302.364828,111.50,30.24,345.58,-23.22
csv,regmach_w8_d2,8,8,32by16by8,20,[32,16,8,256],366960,8.249336,8.043,127110.351670,115.70,29.61,1094.31,-22.84
csv,regmach_w8_d2,8,8,32by16by8,21,[32,16,8,512],468080,16.528543,28.490,126880.629895,136.06,28.92,3211.07,-22.43
csv,regmach_w8_d2,8,8,32by16by8,22,[32,16,8,1024],517232,34.041221,109.545,123212.502747,154.76,32.05,9080.71,-24.27
csv,regmach_w8_d2,8,8,32by16by8,23,[32,16,8,2048],615536,67.814780,432.090,123698.815794,191.96,29.53,16829.21,-22.80
csv,regmach_w8_d2,8,8,32by16by8,24,[32,16,8,4096],812144,138.995661,1723.446,120703.163388,261.30,29.20,22205.41,-22.60
csv,regmach_w8_d2,8,8,32by16by8,25,[32,16,8,8192],1230320,296.574310,6893.816,113140.049021,345.79,27.58,24256.30,-21.62
csv,regmach_w8_d2,8,8,64by32by16,15,[64,32,16],429008,0.415724,1.639,78821.541557,0.00,0.00,0.00,0.00
csv,regmach_w8_d2,8,8,64by32by16,16,[64,32,16,2],428464,0.829723,1.708,78985.380434,212.66,105.61,234.38,-51.37
csv,regmach_w8_d2,8,8,64by32by16,17,[64,32,16,4],453616,1.663845,1.767,78776.572708,176.95,109.23,201.72,-52.21
csv,regmach_w8_d2,8,8,64by32by16,18,[64,32,16,8],454000,3.333659,1.782,78635.518277,174.08,110.75,190.51,-52.55
csv,regmach_w8_d2,8,8,64by32by16,19,[64,32,16,16],559600,6.654535,1.934,78786.565944,233.70,110.45,203.78,-52.48
csv,regmach_w8_d2,8,8,64by32by16,20,[64,32,16,32],561136,13.367872,2.049,78440.010955,229.83,110.02,204.27,-52.39
csv,regmach_w8_d2,8,8,64by32by16,21,[64,32,16,64],589168,26.823340,2.460,78183.849724,197.13,109.21,185.92,-52.20
csv,regmach_w8_d2,8,8,64by32by16,22,[64,32,16,128],595312,53.531960,3.784,78351.399250,193.22,107.66,217.11,-51.84
csv,regmach_w8_d2,8,8,64by32by16,23,[64,32,16,256],607600,107.256349,8.947,78210.829425,188.19,104.87,250.56,-51.19
csv,regmach_w8_d2,8,8,64by32by16,24,[64,32,16,512],632176,216.398248,29.346,77529.352316,181.24,101.15,279.80,-50.29
csv,regmach_w8_d2,8,8,64by32by16,25,[64,32,16,1024],811120,442.876337,110.737,75764.788440,193.90,90.51,291.24,-47.51
csv,regmach_w8_d2,8,8,16by16by8,11,[16,16,8],160592,0.012948,0.572,158165.551450,0.00,0.00,0.00,0.00
csv,regmach_w8_d2,8,8,16by16by8,12,[16,16,8,2],160432,0.024040,0.538,170385.941629,0.00,0.00,0.00,0.00
csv,regmach_w8_d2,8,8,16by16by8,13,[16,16,8,4],210544,0.047178,0.638,173639.645085,0.00,0.00,0.00,0.00
csv,regmach_w8_d2,8,8,16by16by8,14,[16,16,8,8],210928,0.092507,0.698,177110.442695,0.00,0.00,0.00,0.00
csv,regmach_w8_d2,8,8,16by16by8,15,[16,16,8,16],211696,0.183780,0.711,178299.979453,0.00,0.00,0.00,0.00
csv,regmach_w8_d2,8,8,16by16by8,16,[16,16,8,32],213232,0.367246,0.778,178452.549544,55.60,-8.99,52.37,9.88
